Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,77,44,27,33,3,18,10,16,23,4,5,55,8,31,63,26,20,6,99,7
Grid,77,44,27,33,3,18,10,16,23,4,5,55,8,31,63,26,20,6,99,7
Lap 1,77,44,33,27,18,3,10,4,23,16,55,31,20,26,99,8,63,6,7,5
Lap 2,77,44,33,27,18,3,10,4,23,16,55,31,20,26,99,8,63,7,5,6
Lap 3,77,44,33,27,18,3,10,4,23,16,55,31,26,20,99,8,63,7,5,6
Lap 4,77,44,33,27,18,3,10,4,23,16,55,31,26,20,99,8,63,5,7,6
Lap 5,77,44,33,27,18,3,10,4,23,16,55,31,26,20,99,8,63,5,7,6
Lap 6,77,44,33,27,18,3,10,4,23,16,55,31,26,20,99,8,63,5,7,6
Lap 7,77,44,33,27,18,3,10,4,16,55,31,26,20,99,8,63,5,7,6,23
Lap 8,77,44,33,27,18,3,4,16,55,31,26,20,8,63,5,7,6,10,23,99
Lap 9,77,44,33,27,18,3,4,16,55,31,26,20,8,5,6,7,10,23,99,63
Lap 10,77,44,33,27,18,3,4,16,55,31,26,8,5,10,7,23,99,63,20,6
Lap 11,77,44,33,27,18,3,4,16,55,31,26,8,5,10,7,23,99,63,20,6
Lap 12,77,44,33,27,18,3,4,16,55,31,26,8,5,10,7,23,99,63,20,6
Lap 13,77,44,33,27,18,3,16,55,31,26,8,5,4,10,23,7,99,63,20,6
Lap 14,44,33,27,18,3,77,16,55,31,26,8,5,4,10,23,7,99,63,20,6
Lap 15,33,27,18,77,44,16,55,31,26,3,8,5,4,10,23,7,99,63,20,6
Lap 16,33,18,77,44,16,55,27,31,26,3,8,5,4,10,23,7,99,63,20,6
Lap 17,33,18,77,44,16,55,27,31,26,3,5,8,4,10,23,7,99,63,20,6
Lap 18,33,18,77,44,16,55,27,31,26,3,5,4,10,23,7,99,63,20,6,8
Lap 19,33,77,44,55,27,18,31,26,3,5,4,16,10,23,7,99,63,20,6,8
Lap 20,33,77,44,55,27,18,31,3,5,16,4,10,23,7,26,99,63,6,8,20
Lap 21,33,77,44,55,27,18,31,3,5,16,4,23,10,7,26,99,63,6,8,20
Lap 22,33,77,44,55,27,18,31,3,5,16,4,23,10,26,7,99,63,6,8,20
Lap 23,33,77,44,27,18,3,16,4,23,10,31,26,55,7,5,99,63,6,8,20
Lap 24,33,77,44,27,18,3,16,4,23,31,26,55,5,7,63,99,6,8,10,20
Lap 25,33,77,44,27,18,3,16,4,23,31,26,55,5,7,99,6,8,10,63,20
Lap 26,33,77,44,27,18,3,16,4,23,31,26,55,5,7,6,99,8,10,63,20
Lap 27,33,77,44,27,18,16,4,23,31,26,3,55,5,99,8,10,7,63,6,20
Lap 28,33,77,44,27,18,16,4,23,31,26,3,55,5,99,8,10,7,63,6,20
Lap 29,33,77,44,27,18,16,23,4,31,26,3,55,5,99,10,8,7,63,6,20
Lap 30,33,77,44,27,18,16,23,31,26,3,55,5,4,10,99,8,7,63,6,20
Lap 31,33,77,44,18,16,27,26,31,55,5,23,3,4,10,99,8,7,63,6,20
Lap 32,33,77,44,16,27,18,26,31,55,5,23,3,4,10,99,8,7,63,6,20
Lap 33,44,33,77,16,27,18,26,31,55,5,23,3,4,10,99,8,7,63,6,20
Lap 34,44,33,77,16,27,18,26,31,55,23,3,4,10,5,8,7,63,6,99,20
Lap 35,44,33,77,16,27,18,26,23,31,3,4,10,5,55,8,7,63,6,99,20
Lap 36,44,33,77,16,27,18,23,31,4,26,10,5,55,8,7,3,63,6,99,20
Lap 37,44,33,77,16,27,18,23,31,4,26,10,5,55,8,7,3,63,6,99,20
Lap 38,44,33,77,16,27,18,23,31,4,26,10,5,55,8,7,3,63,6,99,20
Lap 39,44,33,77,16,27,18,23,31,4,26,10,5,55,3,7,63,6,99,8,20
Lap 40,44,33,77,16,27,18,23,31,4,26,10,5,55,3,7,6,99,8,63,20
Lap 41,44,33,77,16,27,18,23,31,4,26,10,5,55,3,7,6,99,8,63,20
Lap 42,33,77,16,44,27,18,23,31,4,26,10,5,55,3,7,6,99,8,63,20
Lap 43,33,77,16,44,27,18,23,31,4,26,10,5,55,3,7,6,99,8,63,20
Lap 44,33,77,16,44,27,18,23,31,4,26,10,5,55,3,7,6,99,8,63,
Lap 45,33,77,44,16,18,23,27,31,4,26,10,5,55,3,7,6,99,8,63,
Lap 46,33,77,44,16,18,23,27,31,4,26,10,5,55,3,7,6,8,99,63,
Lap 47,33,77,44,16,18,23,27,31,4,26,10,5,55,3,7,8,99,63,6,
Lap 48,33,77,44,16,18,23,27,31,4,26,10,5,55,3,7,8,99,63,6,
Lap 49,33,77,44,16,18,23,27,31,4,26,10,5,55,3,7,8,99,63,6,
Lap 50,33,44,77,16,23,18,27,31,4,26,10,5,55,3,7,8,99,63,6,
Lap 51,33,44,77,16,23,18,27,31,4,26,10,5,55,3,7,8,99,63,6,
Lap 52,33,44,77,16,23,18,27,31,4,26,10,5,55,,,,,,,
