Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,18,11,5,16,33,4,55,10,3,63,23,31,6,20,26,8,99,7
Lap 1,44,18,33,5,16,77,11,55,3,6,23,10,4,7,63,31,26,99,20,8
Lap 2,44,18,33,5,11,16,55,77,3,6,23,10,4,31,7,63,99,20,8,26
Lap 3,44,33,18,5,11,3,55,31,23,4,6,10,63,7,99,20,8,16,77,26
Lap 4,33,3,44,31,20,4,63,8,18,16,77,11,5,23,99,55,26,10,7,6
Lap 5,44,33,20,8,18,16,77,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 6,44,33,20,8,18,16,77,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 7,44,33,20,18,8,16,77,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 8,44,33,20,18,8,16,77,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 9,44,33,20,18,8,16,77,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 10,44,33,20,18,8,77,16,5,23,11,3,55,26,10,7,31,63,4,99,6
Lap 11,44,33,20,18,8,77,16,23,5,11,3,55,26,10,7,31,63,4,99,6
Lap 12,44,33,20,18,77,8,16,23,5,11,3,55,26,10,7,31,63,4,99,6
Lap 13,44,33,20,18,77,8,16,23,5,11,3,55,26,10,7,31,63,4,99,6
Lap 14,44,33,20,18,77,8,16,23,5,11,3,55,26,7,10,31,63,4,99,6
Lap 15,44,33,20,18,77,8,16,23,5,11,3,55,26,7,31,4,63,10,99,6
Lap 16,44,33,18,20,77,8,16,23,5,11,3,55,26,7,31,4,63,99,6,
Lap 17,44,33,18,77,20,8,16,23,5,11,3,55,26,7,31,4,63,99,6,
Lap 18,44,33,18,77,20,8,23,16,5,11,3,55,7,26,31,4,63,99,6,
Lap 19,44,33,18,77,20,8,23,5,16,11,3,55,7,31,4,63,99,26,6,
Lap 20,44,33,18,77,20,8,23,5,11,3,55,16,7,31,4,26,99,63,6,
Lap 21,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 22,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 23,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 24,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 25,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 26,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 27,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 28,44,33,18,77,20,8,23,5,11,3,55,7,31,4,16,26,63,99,6,
Lap 29,44,33,18,77,20,23,8,11,5,3,55,7,31,4,16,26,63,99,6,
Lap 30,44,33,18,77,20,23,8,11,3,55,7,5,31,4,16,26,63,99,6,
Lap 31,44,33,18,77,20,23,11,8,3,55,5,7,4,16,31,26,63,99,6,
Lap 32,44,33,18,77,20,23,11,8,3,55,5,7,16,4,26,63,31,99,6,
Lap 33,44,33,18,77,20,23,11,3,8,55,5,16,7,4,26,63,31,99,6,
Lap 34,44,33,18,77,20,11,23,3,55,5,8,16,4,26,31,63,7,99,6,
Lap 35,44,33,18,77,20,11,3,55,5,23,16,4,26,8,31,63,7,99,6,
Lap 36,44,33,77,18,3,55,5,20,23,11,16,26,8,31,4,63,7,99,6,
Lap 37,44,33,77,18,3,55,5,23,20,11,16,26,8,31,4,63,7,99,6,
Lap 38,44,33,77,18,3,55,5,23,20,11,16,26,8,31,4,63,7,99,6,
Lap 39,44,33,77,18,3,55,5,23,11,20,16,26,8,31,4,63,7,99,6,
Lap 40,44,33,77,18,3,5,55,23,11,20,16,26,8,31,4,63,7,99,6,
Lap 41,44,33,77,18,3,5,23,11,20,16,55,26,8,31,4,63,7,99,6,
Lap 42,44,33,77,18,3,5,23,11,20,16,55,26,8,31,4,63,7,99,6,
Lap 43,44,33,77,18,3,23,5,11,20,16,55,26,8,31,4,63,7,99,6,
Lap 44,44,33,77,18,5,23,11,20,3,16,55,26,8,31,4,63,7,99,6,
Lap 45,44,33,77,18,5,23,11,20,3,16,55,26,8,31,4,63,7,99,6,
Lap 46,44,33,77,18,5,23,11,3,20,16,55,26,8,31,4,63,7,99,6,
Lap 47,44,33,77,18,5,23,11,3,20,16,55,26,31,8,4,63,7,99,6,
Lap 48,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,63,7,99,6,
Lap 49,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,63,7,99,6,
Lap 50,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,63,99,6,
Lap 51,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 52,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 53,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 54,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 55,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 56,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 57,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 58,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 59,44,33,77,18,5,23,11,3,20,16,55,26,31,4,8,7,99,63,6,
Lap 60,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 61,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 62,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 63,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 64,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 65,44,33,77,18,5,23,11,3,20,55,16,26,31,4,8,7,99,63,6,
Lap 66,44,33,77,18,23,5,11,3,20,55,16,26,31,4,8,7,99,63,,
Lap 67,44,33,77,18,23,5,11,3,20,55,16,26,31,4,8,7,99,63,,
Lap 68,44,33,77,18,23,5,11,3,20,55,16,26,31,4,8,7,99,63,,
Lap 69,44,33,77,18,23,5,11,3,20,55,16,26,4,31,8,7,99,63,,
Lap 70,44,33,77,18,23,,,,,,,,,,,,,,,
