Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,33,11,18,23,55,4,16,10,5,26,3,7,31,20,8,63,6,99
Lap 1,44,33,18,77,11,23,55,10,16,4,5,3,26,20,7,31,8,63,99,6
Lap 2,44,33,18,77,11,23,55,10,16,4,5,26,3,20,7,31,8,63,99,6
Lap 3,44,33,18,77,11,23,55,10,16,4,5,26,3,20,7,31,8,63,99,6
Lap 4,44,33,18,77,11,23,55,10,16,4,5,26,3,20,7,31,8,63,99,6
Lap 5,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 6,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 7,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 8,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 9,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 10,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 11,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 12,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 13,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 14,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 15,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 16,44,33,77,18,11,23,55,10,16,4,5,26,3,20,7,31,63,8,99,6
Lap 17,44,33,77,18,11,55,10,23,16,4,5,26,3,20,7,31,63,8,99,6
Lap 18,44,33,77,18,11,55,10,16,4,5,26,3,20,7,31,23,63,8,99,6
Lap 19,44,33,77,18,11,55,10,16,4,5,26,3,20,7,31,23,8,63,99,6
Lap 20,44,33,77,18,11,55,10,16,4,5,26,3,20,31,23,7,8,99,6,63
Lap 21,44,77,33,18,11,55,16,10,4,5,3,26,20,31,23,8,6,99,63,7
Lap 22,44,77,33,18,11,16,55,5,3,20,31,23,10,4,8,6,26,63,7,99
Lap 23,44,77,33,18,11,16,5,3,20,31,23,55,10,4,8,26,6,63,7,99
Lap 24,44,33,77,18,11,16,5,3,20,31,23,55,10,4,8,26,6,63,7,99
Lap 25,44,33,77,18,11,16,5,3,20,31,23,55,10,4,8,26,63,6,7,99
Lap 26,44,33,77,18,11,16,5,3,20,31,23,55,10,4,26,8,63,7,6,99
Lap 27,44,33,77,11,18,16,5,3,20,31,23,55,10,4,26,8,63,7,6,99
Lap 28,44,33,77,11,16,5,3,18,31,23,55,10,4,26,8,20,63,7,99,6
Lap 29,44,33,77,11,16,3,5,18,31,55,23,10,4,26,8,63,7,99,20,6
Lap 30,44,33,77,3,18,55,11,31,23,10,4,16,26,5,8,63,7,99,20,6
Lap 31,44,33,77,3,18,11,55,31,23,10,4,16,26,5,63,8,7,99,20,6
Lap 32,44,33,77,3,18,11,55,31,23,10,4,16,26,5,63,7,99,20,8,6
Lap 33,44,33,77,3,18,11,55,23,31,10,4,16,26,5,63,7,99,20,8,6
Lap 34,44,33,77,3,18,11,55,23,10,4,16,26,31,5,63,7,99,20,8,6
Lap 35,44,33,77,18,11,55,3,23,10,4,16,26,5,7,63,99,20,31,8,6
Lap 36,44,33,77,18,11,55,23,10,4,26,5,3,7,99,20,31,63,8,6,16
Lap 37,44,33,77,18,11,55,23,10,4,26,5,3,7,99,20,31,63,8,6,16
Lap 38,44,33,77,18,11,55,23,10,4,26,5,3,7,99,20,31,63,8,6,16
Lap 39,44,33,77,18,11,55,10,4,23,26,5,3,7,99,20,31,63,8,6,
Lap 40,44,33,77,18,11,55,10,4,26,5,23,3,7,99,20,31,63,8,6,
Lap 41,44,77,33,18,11,10,55,4,26,5,23,3,7,20,99,31,63,8,6,
Lap 42,44,77,33,11,18,4,10,26,5,55,23,3,7,20,99,31,63,8,6,
Lap 43,44,77,33,11,4,26,5,18,55,23,10,3,7,20,99,31,63,8,6,
Lap 44,44,77,33,11,4,26,5,18,55,23,10,3,20,99,7,31,63,8,6,
Lap 45,44,77,33,11,5,26,18,55,23,10,4,3,20,31,63,8,99,6,7,
Lap 46,44,77,33,11,5,18,55,23,10,4,3,26,20,31,63,8,6,7,99,
Lap 47,44,77,33,11,5,18,55,23,10,4,3,26,20,31,63,8,6,7,99,
Lap 48,44,77,33,11,5,18,55,23,10,4,3,26,20,31,63,8,6,7,99,
Lap 49,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 50,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 51,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 52,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 53,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 54,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,8,7,99,6,
Lap 55,44,33,77,11,5,18,55,23,10,4,3,26,20,31,63,7,8,99,6,
Lap 56,44,33,77,11,18,5,55,23,10,4,3,26,31,20,63,7,8,99,6,
Lap 57,44,33,77,11,18,5,55,23,10,4,3,26,31,20,63,7,8,99,6,
Lap 58,44,33,77,11,18,5,55,23,10,4,3,26,31,20,7,63,8,99,6,
Lap 59,44,33,77,11,18,55,5,23,10,4,3,26,31,20,7,63,99,8,6,
Lap 60,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,63,99,8,6,
Lap 61,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,99,63,8,6,
Lap 62,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,99,63,6,8,
Lap 63,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,99,63,6,8,
Lap 64,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,99,63,6,8,
Lap 65,44,33,77,11,18,55,5,23,10,4,3,26,31,7,20,99,63,6,8,
Lap 66,44,33,77,18,11,55,5,23,10,4,3,26,31,7,20,99,63,6,8,
