Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,33,3,23,31,55,11,18,4,26,10,16,5,63,7,8,99,6,20
Lap 1,44,77,33,3,31,23,18,16,11,10,4,26,5,99,20,7,63,8,6,
Lap 2,44,77,33,3,31,23,18,16,10,11,4,26,5,99,20,7,63,8,6,
Lap 3,44,77,33,3,31,23,18,10,16,11,4,26,5,99,20,7,63,8,6,
Lap 4,44,77,33,3,31,23,18,10,11,16,4,26,5,99,7,20,63,8,6,
Lap 5,44,77,33,3,31,23,18,10,11,16,4,26,5,99,7,63,20,8,6,
Lap 6,44,77,33,3,31,23,18,10,11,4,16,26,5,99,7,63,8,20,6,
Lap 7,44,77,33,3,31,23,18,10,11,4,26,16,5,99,7,63,8,20,6,
Lap 8,44,77,33,3,31,23,18,10,11,4,26,16,5,99,7,63,8,20,6,
Lap 9,44,77,33,3,31,23,18,10,11,4,26,16,5,99,7,63,8,20,6,
Lap 10,44,77,33,3,31,23,18,10,11,4,26,5,16,7,8,20,6,,,
Lap 11,44,77,33,3,31,23,10,18,11,4,26,5,7,16,8,20,6,,,
Lap 12,44,77,33,10,11,3,23,31,18,4,26,5,7,16,8,20,6,,,
Lap 13,44,77,33,10,11,3,23,31,18,4,26,5,7,16,8,20,6,,,
Lap 14,44,77,33,10,11,3,23,31,18,4,26,5,7,16,8,20,6,,,
Lap 15,44,77,33,10,11,3,23,31,18,4,26,5,7,16,8,20,6,,,
Lap 16,44,77,33,10,11,3,23,31,18,4,26,7,5,16,8,20,6,,,
Lap 17,44,77,33,10,3,23,11,31,18,4,26,7,5,16,8,20,6,,,
Lap 18,44,77,33,10,3,23,31,18,4,26,7,11,5,16,8,20,6,,,
Lap 19,44,77,33,10,3,23,31,18,4,26,7,5,16,8,20,6,11,,,
Lap 20,44,77,33,10,3,23,31,18,4,26,7,5,16,8,20,6,11,,,
Lap 21,44,77,33,3,10,23,31,18,4,26,7,5,16,8,20,6,11,,,
Lap 22,44,77,33,3,10,23,31,18,4,26,7,5,16,8,20,6,11,,,
Lap 23,44,77,33,3,10,23,31,18,4,26,7,5,16,8,20,11,6,,,
Lap 24,44,77,33,3,23,10,31,18,4,26,7,5,16,8,11,20,6,,,
Lap 25,44,77,33,3,23,10,31,18,4,26,7,5,8,11,20,6,16,,,
Lap 26,44,77,33,3,23,31,18,4,26,10,7,5,11,8,20,6,16,,,
Lap 27,44,77,33,3,23,31,18,4,26,7,5,11,8,20,6,10,16,,,
Lap 28,44,77,33,3,23,31,18,4,26,7,5,11,8,20,10,6,16,,,
Lap 29,44,77,33,3,23,31,18,4,26,7,11,5,8,10,20,6,16,,,
Lap 30,44,77,33,3,23,31,18,4,26,7,11,5,10,8,20,16,6,,,
Lap 31,44,77,33,3,23,31,18,4,26,7,11,5,10,8,20,16,6,,,
Lap 32,44,77,33,3,23,31,18,4,26,7,11,10,5,8,20,16,6,,,
Lap 33,44,77,33,3,23,31,18,4,26,11,7,10,5,8,20,16,6,,,
Lap 34,44,77,33,3,23,31,18,4,26,11,10,7,5,8,20,16,6,,,
Lap 35,44,77,33,3,23,31,18,4,26,11,10,7,5,8,16,20,6,,,
Lap 36,44,77,33,3,23,31,18,4,11,10,26,7,5,8,16,6,20,,,
Lap 37,44,77,33,3,23,31,4,18,11,10,26,7,5,8,16,6,20,,,
Lap 38,44,77,33,3,23,31,4,18,11,10,26,7,5,8,16,6,20,,,
Lap 39,44,77,33,3,23,31,4,18,11,10,26,7,5,8,16,6,20,,,
Lap 40,44,77,33,3,23,31,4,18,10,11,26,7,5,8,16,6,20,,,
Lap 41,44,77,33,3,23,31,4,18,10,11,26,7,5,8,16,6,20,,,
Lap 42,44,77,33,3,23,31,4,18,10,11,26,7,5,8,16,6,20,,,
Lap 43,44,77,33,3,23,31,4,10,18,11,26,7,5,8,16,6,20,,,
Lap 44,44,77,33,3,31,23,4,10,18,11,26,7,5,16,8,6,20,,,
