Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,33,16,4,18,55,3,31,5,10,23,27,20,99,7,8,6,26,63
Lap 1,44,77,33,16,55,3,4,18,31,5,10,23,99,26,8,7,63,6,,
Lap 2,44,77,33,16,55,3,4,18,31,5,10,23,99,26,8,7,63,6,,
Lap 3,44,77,33,16,55,3,4,18,31,5,10,23,99,26,8,7,63,6,,
Lap 4,44,77,33,16,55,3,4,18,31,5,10,23,99,26,8,7,63,6,,
Lap 5,44,77,33,16,55,3,4,18,31,5,10,23,99,26,8,7,63,6,,
Lap 6,44,77,33,16,55,3,4,18,31,5,10,99,23,26,8,7,63,6,,
Lap 7,44,77,33,16,55,3,4,18,31,5,10,99,26,8,7,63,6,23,,
Lap 8,44,77,33,16,55,3,4,18,31,5,10,99,26,8,7,63,6,23,,
Lap 9,44,77,33,16,55,3,4,18,31,5,10,99,26,8,7,63,6,23,,
Lap 10,44,77,33,16,55,3,4,18,31,5,10,99,26,8,7,63,6,23,,
Lap 11,44,77,33,16,55,3,4,18,31,5,10,26,99,8,7,63,6,23,,
Lap 12,44,77,33,16,3,55,4,18,31,5,10,99,7,8,63,6,23,,,
Lap 13,44,77,33,16,55,18,8,3,4,5,31,99,10,23,63,7,6,,,
Lap 14,44,77,33,16,8,55,3,4,18,5,31,99,10,23,63,7,6,,,
Lap 15,44,77,33,16,8,55,3,4,18,5,31,99,10,23,63,7,6,,,
Lap 16,44,77,33,16,8,55,3,4,18,5,31,99,10,23,63,7,6,,,
Lap 17,44,77,33,16,8,55,3,4,18,5,31,99,10,23,63,7,6,,,
Lap 18,44,77,33,16,8,55,3,4,18,5,31,99,10,23,63,7,6,,,
Lap 19,44,77,33,16,8,55,4,3,18,31,5,99,10,23,7,63,6,,,
Lap 20,44,77,33,16,8,55,4,3,18,31,5,99,10,23,7,63,6,,,
Lap 21,44,77,33,16,8,55,4,3,18,31,5,99,10,23,7,63,6,,,
Lap 22,44,77,33,16,55,8,4,3,18,31,5,99,10,23,7,63,6,,,
Lap 23,44,77,33,16,55,8,4,3,18,31,5,99,10,23,7,63,6,,,
Lap 24,44,77,33,16,55,4,8,3,18,31,5,99,10,23,7,63,6,,,
Lap 25,44,77,33,16,55,4,8,3,18,31,5,99,10,23,7,63,6,,,
Lap 26,44,77,33,16,55,4,8,3,18,31,5,99,10,23,7,63,6,,,
Lap 27,44,77,33,16,55,4,8,3,18,31,5,99,10,23,63,7,6,,,
Lap 28,44,77,33,16,55,4,8,3,18,31,5,99,10,23,63,7,6,,,
Lap 29,44,77,33,16,55,4,8,3,18,31,5,99,10,23,63,7,6,,,
Lap 30,44,77,33,16,55,4,8,3,18,31,5,10,23,99,63,7,6,,,
Lap 31,44,77,33,16,55,4,8,3,18,31,5,10,99,63,7,6,23,,,
Lap 32,44,77,33,16,55,4,8,3,18,31,5,10,99,63,6,7,23,,,
Lap 33,44,77,33,16,55,4,8,3,18,31,5,10,99,63,6,7,23,,,
Lap 34,44,77,33,16,55,4,8,3,18,31,5,10,99,63,6,7,23,,,
Lap 35,44,77,33,16,55,4,8,3,18,31,5,10,99,63,6,7,23,,,
Lap 36,44,77,33,16,55,4,3,18,8,31,5,10,99,63,6,7,23,,,
Lap 37,44,77,33,16,55,4,3,18,31,10,5,99,63,6,7,23,8,,,
Lap 38,44,77,33,16,55,4,3,18,31,10,5,99,63,6,7,23,8,,,
Lap 39,44,77,33,16,55,4,3,18,31,10,5,99,63,6,23,7,8,,,
Lap 40,44,77,33,16,55,4,3,18,31,10,5,99,63,6,23,7,8,,,
Lap 41,44,77,33,16,55,4,3,18,31,10,5,99,63,23,6,7,8,,,
Lap 42,44,77,33,16,55,4,3,18,31,10,5,99,63,23,6,7,8,,,
Lap 43,44,77,33,16,55,4,3,18,31,10,5,99,63,23,6,7,8,,,
Lap 44,44,77,33,16,55,4,3,18,31,10,5,99,63,23,6,8,7,,,
Lap 45,44,77,33,16,55,4,3,18,31,10,5,23,99,63,6,8,7,,,
Lap 46,44,77,33,16,55,4,3,31,18,10,5,23,99,63,6,8,7,,,
Lap 47,44,77,33,16,55,4,3,31,18,10,5,23,99,63,6,8,7,,,
Lap 48,44,77,33,16,55,4,3,31,18,10,5,23,99,63,6,8,7,,,
Lap 49,44,77,33,16,55,3,4,31,10,18,23,5,99,63,6,8,7,,,
Lap 50,44,33,16,77,55,3,4,31,10,18,23,5,99,63,6,8,7,,,
Lap 51,44,33,16,3,4,55,31,10,23,18,5,77,99,63,6,8,7,,,
Lap 52,44,33,16,3,4,31,10,23,18,5,77,99,63,55,6,8,,,,
