Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,55,11,33,4,3,18,23,10,26,31,16,7,20,8,5,99,63,6
Lap 1,44,55,4,11,3,77,33,18,31,10,26,7,16,99,23,8,63,5,6,20
Lap 2,44,55,4,11,3,77,18,33,31,10,26,7,16,99,23,8,5,63,6,20
Lap 3,44,55,4,11,3,77,33,18,31,10,26,7,16,99,23,8,5,63,6,20
Lap 4,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,5,63,6,20
Lap 5,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,5,63,6,20
Lap 6,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,5
Lap 7,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 8,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 9,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 10,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 11,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 12,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 13,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 14,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 15,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 16,44,55,4,11,3,77,33,18,31,10,26,7,16,23,99,8,63,6,20,
Lap 17,44,55,4,11,3,77,33,18,31,10,26,7,23,99,8,16,63,20,6,
Lap 18,44,55,4,11,3,77,33,18,31,10,26,23,7,99,8,63,16,6,,
Lap 19,44,55,4,11,3,77,33,18,31,26,10,23,99,8,63,7,16,6,,
Lap 20,44,55,4,11,3,77,33,18,31,26,23,8,99,63,10,7,16,6,,
Lap 21,55,44,4,11,3,77,33,18,31,26,23,8,63,10,99,7,16,6,,
Lap 22,44,55,18,4,11,3,77,33,10,99,31,7,26,16,23,6,8,63,,
Lap 23,44,18,10,99,7,16,6,55,4,77,3,11,33,31,26,63,8,23,,
Lap 24,44,18,10,7,99,55,4,77,6,3,33,31,26,11,63,23,8,,,
Lap 25,44,18,10,7,99,55,4,77,6,3,33,31,26,11,63,23,8,,,
Lap 26,44,18,10,7,99,55,4,77,6,3,33,31,26,11,63,23,8,,,
Lap 27,44,18,7,10,99,55,4,77,6,3,33,31,26,11,63,23,8,,,
Lap 28,10,7,99,44,18,55,4,77,3,31,26,6,11,33,8,63,23,,,
Lap 29,10,7,99,55,18,4,77,3,31,26,11,6,8,33,63,23,44,,,
Lap 30,10,7,55,18,4,77,3,31,99,26,11,6,8,63,23,33,44,,,
Lap 31,10,7,55,18,4,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 32,10,7,55,18,4,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 33,10,7,55,18,4,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 34,10,55,7,18,4,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 35,10,55,18,7,4,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 36,10,55,18,4,7,77,3,31,26,11,6,8,63,23,44,99,,,,
Lap 37,10,55,18,4,77,7,3,31,26,11,6,8,63,23,44,99,,,,
Lap 38,10,55,18,4,77,3,7,31,26,11,6,8,63,23,44,99,,,,
Lap 39,10,55,18,4,77,3,7,31,26,11,6,8,63,23,44,99,,,,
Lap 40,10,55,18,4,77,3,7,31,26,11,6,8,63,44,23,99,,,,
Lap 41,10,55,18,4,77,3,7,31,26,11,6,8,44,63,23,99,,,,
Lap 42,10,55,18,4,77,3,7,31,26,11,6,44,8,63,23,99,,,,
Lap 43,10,55,18,4,77,3,31,7,26,11,6,44,8,63,23,99,,,,
Lap 44,10,55,18,4,77,3,31,26,7,11,6,44,8,63,23,99,,,,
Lap 45,10,55,18,4,77,3,31,26,7,11,44,6,8,63,23,99,,,,
Lap 46,10,55,18,4,77,3,31,26,11,44,7,6,8,63,23,99,,,,
Lap 47,10,55,18,4,77,3,31,26,11,44,7,6,8,63,23,99,,,,
Lap 48,10,55,18,4,77,3,31,26,11,44,7,6,8,63,23,99,,,,
Lap 49,10,55,18,4,77,3,31,26,44,11,7,6,8,63,23,99,,,,
Lap 50,10,55,18,4,77,3,31,26,44,11,7,6,8,63,23,99,,,,
Lap 51,10,55,18,4,77,3,31,44,26,11,7,6,8,63,23,99,,,,
Lap 52,10,55,18,4,77,3,31,44,26,11,6,7,8,63,23,99,,,,
Lap 53,10,55,18,4,77,3,44,31,26,11,6,8,7,63,23,99,,,,
