Lap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,33,55,77,31,23,10,3,4,5,63,18,26,16,20,7,11,6,99,8
Lap 1,44,33,55,77,23,31,3,10,16,4,18,63,20,26,99,5,11,6,8,7
Lap 2,44,33,55,77,23,31,3,10,4,18,63,20,26,99,11,6,8,7,16,
Lap 3,44,33,55,77,23,31,3,10,4,18,63,20,26,99,11,6,8,7,16,
Lap 4,44,33,55,77,23,31,3,10,4,18,20,26,11,99,6,8,7,63,16,
Lap 5,44,33,55,77,23,31,3,10,18,4,20,11,26,99,6,8,7,63,,
Lap 6,44,33,77,55,23,31,3,10,18,4,11,20,26,99,6,8,7,63,,
Lap 7,44,33,77,55,23,31,3,10,18,4,11,26,20,99,8,6,7,63,,
Lap 8,44,33,77,23,55,31,3,10,18,4,11,26,99,20,8,6,7,63,,
Lap 9,44,33,77,23,55,31,3,10,18,4,11,26,99,20,8,6,7,63,,
Lap 10,44,33,77,23,55,31,3,10,18,4,11,26,99,20,8,7,6,63,,
Lap 11,44,33,77,23,55,31,3,10,18,4,11,26,99,8,20,7,6,63,,
Lap 12,44,33,77,23,55,31,3,10,18,4,11,26,99,8,20,7,6,63,,
Lap 13,44,33,77,23,55,31,3,10,18,4,11,26,99,8,7,20,6,63,,
Lap 14,44,33,77,23,55,31,3,10,18,11,4,26,99,8,7,20,6,63,,
Lap 15,44,33,77,23,55,31,3,10,18,11,4,26,99,8,7,20,6,63,,
Lap 16,44,33,77,23,55,31,3,10,18,11,4,26,99,8,7,20,6,63,,
Lap 17,44,33,77,23,55,31,3,18,10,11,4,26,99,8,7,20,6,63,,
Lap 18,44,33,77,23,55,31,3,18,11,10,4,26,99,7,8,20,6,63,,
Lap 19,44,33,77,23,55,3,31,18,11,10,4,26,99,7,8,20,6,63,,
Lap 20,44,33,77,23,55,3,31,18,11,10,4,26,99,7,8,20,6,63,,
Lap 21,44,33,77,23,55,3,31,18,11,4,10,26,99,7,8,20,6,63,,
Lap 22,44,33,77,23,55,3,31,18,11,4,10,26,99,7,20,8,6,63,,
Lap 23,44,33,77,23,55,3,31,18,11,4,10,26,99,7,20,8,6,63,,
Lap 24,44,77,33,23,55,3,31,18,11,4,26,99,10,7,20,8,6,63,,
Lap 25,44,77,33,23,55,3,18,11,31,4,26,99,7,20,8,6,63,10,,
Lap 26,44,77,33,23,55,3,18,11,4,26,99,7,20,8,6,63,10,,,
Lap 27,44,77,33,23,55,3,18,11,4,26,99,7,20,8,6,63,10,,,
Lap 28,77,44,33,23,55,3,18,11,4,26,99,7,20,8,6,63,10,,,
Lap 29,77,44,33,23,55,3,18,11,4,26,99,7,20,8,6,63,10,,,
Lap 30,77,44,33,23,55,3,18,11,4,26,99,7,20,8,6,63,10,,,
Lap 31,77,44,33,23,55,3,18,11,4,26,99,7,8,20,6,63,10,,,
Lap 32,77,44,33,23,3,18,55,11,4,26,99,7,8,10,63,6,20,,,
Lap 33,77,44,33,23,3,11,18,4,26,99,7,8,55,10,63,20,6,,,
Lap 34,77,44,33,23,3,11,4,26,99,7,18,55,8,10,20,63,6,,,
Lap 35,44,33,77,23,3,11,4,26,99,7,18,55,8,10,20,6,63,,,
Lap 36,44,33,77,3,11,4,23,99,18,7,26,55,8,10,20,6,63,,,
Lap 37,44,33,77,11,3,4,23,18,99,55,7,8,10,26,20,6,63,,,
Lap 38,44,33,77,11,4,23,3,18,55,99,7,10,26,20,8,6,63,,,
Lap 39,44,33,77,4,23,3,18,11,55,7,99,10,26,20,8,6,63,,,
Lap 40,44,33,77,23,3,18,11,55,7,4,10,26,20,99,8,6,63,,,
Lap 41,44,33,77,23,3,18,11,55,7,4,10,26,99,20,8,6,63,,,
Lap 42,44,33,77,23,3,18,11,55,7,4,10,26,99,20,8,6,63,,,
Lap 43,44,33,77,23,3,18,11,55,7,4,10,26,99,20,8,6,63,,,
Lap 44,44,33,77,23,3,18,11,55,4,7,10,26,99,20,8,6,63,,,
Lap 45,44,33,77,23,3,11,18,55,4,26,10,99,20,7,8,6,63,,,
Lap 46,44,33,77,23,3,11,18,55,4,26,10,99,20,7,8,6,63,,,
Lap 47,44,33,77,23,3,11,18,55,4,26,99,10,7,20,8,6,63,,,
Lap 48,44,33,77,23,11,3,18,55,4,26,99,7,10,8,20,6,63,,,
Lap 49,44,33,77,23,11,3,18,55,4,26,99,7,8,20,10,6,63,,,
Lap 50,44,33,77,23,11,3,18,55,4,26,99,7,8,20,6,63,10,,,
Lap 51,44,33,77,23,11,3,18,55,4,26,99,7,8,20,6,63,10,,,
Lap 52,44,33,77,23,11,3,18,55,4,26,99,7,8,20,6,63,10,,,
Lap 53,44,33,77,23,11,3,18,55,4,26,99,7,8,20,63,6,10,,,
Lap 54,44,33,77,23,11,3,18,55,4,26,99,7,8,20,63,10,6,,,
Lap 55,44,33,77,23,11,3,18,55,4,26,99,7,8,20,10,63,6,,,
Lap 56,44,33,77,23,11,3,18,55,4,26,99,7,8,20,10,63,6,,,
Lap 57,44,33,77,23,11,3,18,55,4,26,99,7,8,20,10,63,6,,,
Lap 58,44,33,77,23,11,3,18,55,4,26,99,7,8,20,10,63,6,,,
Lap 59,44,33,77,23,11,3,18,55,4,26,7,99,8,20,10,63,6,,,
Lap 60,44,33,77,23,11,3,18,55,4,26,7,99,8,20,10,63,6,,,
Lap 61,44,33,77,23,11,3,18,4,55,26,7,99,8,20,10,63,6,,,
Lap 62,44,33,77,23,11,3,18,4,55,26,7,99,8,20,10,63,6,,,
Lap 63,44,33,77,23,11,3,18,4,55,26,7,99,8,20,10,63,6,,,
Lap 64,44,33,77,23,11,3,18,4,55,26,7,99,8,20,10,63,6,,,
Lap 65,44,33,77,23,11,3,18,4,55,26,7,99,20,8,10,63,6,,,
Lap 66,44,33,77,23,11,3,18,4,55,26,7,99,20,8,10,63,6,,,
Lap 67,44,77,33,23,11,3,18,4,55,26,7,99,20,8,10,63,6,,,
Lap 68,44,77,33,23,11,3,18,4,55,26,7,20,8,99,10,63,6,,,
Lap 69,44,77,33,23,11,3,18,4,55,26,7,20,8,99,10,63,6,,,
Lap 70,44,77,33,23,11,18,4,3,55,26,7,20,8,99,10,,,,,
Lap 71,44,77,33,23,4,11,18,3,,,,,,,,,,,,
